codemp;tipcont;tipmov;codart;fecmov;fecintro;orden;almace;seriel;ubicac;cant;prec;moves;clprfab;numdoc;posicion;impmov;pmedpon;tabauxidhis;tipo;datvar1;datvar2;datvar3;datvar4;datvar5;datvar6;feccad;premedpon;cantdobuni;numsec;tipfac;movmanual
001;0;1;MC010AV05;40522;40522;201012103439139;1;;S/U;42;0;E;00162;4081;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MIS01035;40522;40522;201012103573766;1;;S/U;10;0;E;00102;AVX/2654;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MIS01035;40522;40522;201012103830972;1;;S/U;50;0;E;00102;AVX/2633;1;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;MIS01036;40522;40522;201012103831005;1;;S/U;20;0;E;00102;AVX/2633;2;0;0;0;P;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM001E;40521;40525;201012134243177;1;;S/U;12;240;S;00107;AL10-0679;1;2880;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;4;LM001BK01;40521;40525;201012134251600;1;;S/U;12;0;S;00107;AL10-0679;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM001E;40521;40525;201012134265975;1;;S/U;28;240;S;00107;AL10-0680;1;6720;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;4;LM001BK01;40521;40525;201012134270022;1;;S/U;28;0;S;00107;AL10-0680;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM001E;40525;40527;201012134844330;1;;S/U;8;240;S;00107;AL10-0681;1;1920;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;4;LM001BK01;40525;40525;201012134855508;1;;S/U;8;0;S;00107;AL10-0681;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM001E;40525;40526;201012134921194;1;;S/U;28;240;S;00107;AL10-0682;1;6720;0;0;C;;;;0;0;0;2958465;88.5553;0;0;0;N
001;0;4;LM001BK01;40525;40527;201012134922833;1;;S/U;28;0;S;00107;AL10-0682;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MS125A;40528;40528;201012163574861;1;;S/U;15;25;S;00095;AL10-0684;1;375;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP036A;40528;40528;201012163577041;1;;S/U;3;20;S;00095;AL10-0684;2;60;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP058A;40528;40528;201012163577979;1;;S/U;6;30;S;00095;AL10-0684;3;180;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP014A;40528;40528;201012163578943;1;;S/U;3;24;S;00095;AL10-0684;4;72;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP062A;40528;40528;201012163580472;1;;S/U;5;9;S;00095;AL10-0684;5;45;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP033D;40528;40528;201012163586647;1;;S/U;3;200;S;00095;AL10-0684;6;600;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;ILU00031;40528;40528;201012163594023;1;;S/U;2;20;S;00095;AL10-0684;7;40;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;ILU00036;40528;40528;201012163603435;1;;S/U;2;24;S;00095;AL10-0684;8;48;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;ILU00042;40528;40528;201012163604647;1;;S/U;8;3;S;00095;AL10-0684;9;24;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN219A;40528;40532;201012163698188;1;;S/U;3;10260.48;S;00080;AL10-0685;1;30781.44;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN219AM10;40528;40528;201012163703841;1;;S/U;4;0;S;00080;AL10-0685;3;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN228A;40528;40547;201012163779590;1;;S/U;3;14397;S;00012;AL10-0686;1;43191;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MEC00459;40528;40528;201012163782273;1;;S/U;1;0;S;00012;AL10-0686;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN218A;40543;40548;201012204146016;1;;S/U;2;1125;S;00076;AL10-0687;1;2250;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012A;40525;40532;201012204902688;1;;S/U;1;80;S;00042;AL10-0688;1;80;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012B;40525;40532;201012204907589;1;;S/U;1;103;S;00042;AL10-0688;2;103;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN236A;40533;40553;201012213850631;1;;S/U;5;3645;S;00096;AL10-0689;1;18225;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN218A;40533;40533;201012214152402;1;;S/U;2;1125;S;00076;AL10-0690;1;2250;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM030A;40534;40534;201012223595332;1;;S/U;5;0;S;00042;AL10-0691;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;LM030A;40534;40534;201012223596581;1;;S/U;5;0;S;00042;AL10-0691;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN231B;40539;40539;201012234362260;1;;S/U;1;14249;S;00012;AL10-0692;1;14249;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;SY047A;40539;40539;201012234471594;1;;S/U;6;9140.16;S;00080;AL10-0693;1;54840.96;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN226A;40539;40539;201012234487863;1;;S/U;1;15862.08;S;00080;AL10-0694;1;15862.08;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MP033D;40535;40535;201012234895661;1;;S/U;3;0;S;00095;AL10-0695;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN242A;40535;40539;201012236372983;1;;S/U;1;1869;S;43000122;AL10-0696;1;1869;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012B;40547;40546;201101033483011;1;;S/U;2;0;S;00042;AL10-0697;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN123AM03;40548;40548;201101055014646;1;;S/U;1;0;S;30131;AL11-0003;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN124AM03;40548;40548;201101055016802;1;;S/U;4;0;S;30131;AL11-0003;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;10;PN129C;40554;42312;201101100000000;1;,;S/U;10;0;I;;0;0;0;0;0;;;;;0;0;0;2958465;0;0;0;0;N
001;0;10;PN129C;40554;42312;201101100000001;1;,;S/U;0;0;I;;0;0;0;0;0;;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;SY039A;40553;40553;201101103284608;1;;S/U;2;8549.5;S;00076;AL11-0004;1;17099;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM022D;40553;40553;201101104769631;1;;S/U;75;0;S;30131;AL11-0008;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN104AE01;40553;40553;201101105088350;1;;S/U;10;0;S;00049;AL11-0011;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;SS00MM14A;40554;40557;201101105601427;1;;S/U;1;87;S;00042;AL11-0012;1;87;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC005A;40554;40557;201101105605466;1;;S/U;1;129;S;00042;AL11-0012;2;129;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM005A;40554;40557;201101105606467;1;;S/U;1;51;S;00042;AL11-0012;3;51;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN219A;40555;40560;201101123609092;1;;S/U;1;10260.48;S;00080;AL11-0016;1;10260.48;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN219AM10;40555;40555;201101123621385;1;;S/U;1;0;S;00080;AL11-0016;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN219AK01;40555;40555;201101123623375;1;;S/U;1;0;S;00080;AL11-0016;3;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC010A;40555;40557;201101124155614;1;;S/U;1;105;S;00042;AL11-0017;1;105;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012B;40555;40555;201101124157628;1;;S/U;1;0;S;00042;AL11-0017;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC010A;40555;40557;201101124253017;1;;S/U;1;99.1;S;00042;AL11-0018;1;99.1;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012B;40555;40555;201101124258178;1;;S/U;3;0;S;00042;AL11-0018;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00566;40556;40556;201101134221605;1;;S/U;13;0;S;30130;AL11-0021;1;0;4.45;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MIS00565;40556;40556;201101134224102;1;;S/U;11;0;S;30130;AL11-0021;2;0;4.45;0;C;;;;0;0;0;2958465;0;0;0;0;N
